id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,target
68,A,I,A,A,H,BI,A,AH,H,A,MD,A,A,A,B,D,B,C,C,0.5416888741024769,0.7987593686940301,0.7685555536592255,0.2641693986128124,0.2829728332255085,0.7355932964677163,0.8218229296316322,0.4359911262865444,0.9460245729000908,0.5242593026756265,0.5264280545269099,1
69,A,M,C,A,E,M,A,E,AX,A,DP,A,A,A,B,B,D,D,B,0.11271496976774578,0.1498887337944403,0.2590131864176673,0.27858650805874763,0.7980392446364224,0.2586066371125179,0.4213293350407333,0.20697058500223955,0.2237869180589921,0.2594857321516815,0.4326649901544472,0
72,A,K,A,A,F,BI,E,K,AE,J,AN,A,B,A,B,D,B,B,B,0.4694991257054957,0.4998783879306208,0.4479612057016923,0.6588827546727932,0.2262537675183019,0.6196005341394109,0.5479644733319098,0.6274562813723089,0.5471500721474478,0.2930362090762901,0.4354830464459351,1
73,A,K,A,C,F,BI,A,AN,BM,A,HK,A,A,A,A,B,D,D,B,0.3380634099278215,0.5481272027352638,0.7050129106617997,0.5430919680570238,0.6666351237349479,0.6804683576786057,0.7630307192087192,0.4052717502692129,0.4720768764731146,0.6637032875768988,0.36902737171599936,0
74,B,I,D,A,E,BI,A,AS,BM,A,AD,A,A,A,A,B,D,C,B,0.48668342588700303,0.21802573286488,0.2918823064611743,0.3475760277501461,0.7000262554160174,0.7368236803443751,0.5194270699230763,0.361592678470832,0.33989490775344683,0.3454793698622544,0.34948166229068217,0
75,A,K,G,B,E,BI,A,E,BH,A,MC,B,A,A,B,B,D,D,B,0.42065649752471,0.4428789631617371,0.4946200577662553,0.21443917448249208,0.5878328095771177,0.4199540639603849,0.4074208573131065,0.3456626525682981,0.35339768422361256,0.3482860635298147,0.37778419012084097,0
77,A,F,A,C,G,BI,C,E,H,A,MD,A,A,A,A,B,D,D,B,0.3640547488932287,0.6633805200394403,0.616943274516336,0.18349037695810075,0.8170471419418149,0.8143520632997918,0.6279309192533262,0.4317318226689165,0.6139568560558339,0.4332899196157968,0.5325414219337411,1
80,A,K,A,A,E,BI,A,AD,L,J,KW,A,B,A,B,B,B,D,B,0.9387303491829421,0.7492898607938014,0.7392511425743926,0.7785535173917243,0.678062313851667,0.13220902043223307,0.1709633928539184,0.8715283115462206,0.6077332828542364,0.9817843674138166,0.9371849490828372,0
82,A,I,A,A,E,BI,A,E,BM,A,DP,A,A,A,B,B,D,D,B,0.4336975150384185,0.3452061482304297,0.34871323175651964,0.5855270842376641,0.7889668768972544,0.7365467203909906,0.38309725304200426,0.3608011082027376,0.3639645964927151,0.3210162352923586,0.4019496997267792,0
84,A,I,D,D,D,BI,A,AA,BM,E,CK,A,B,A,A,B,D,D,B,0.2007555174182844,0.26798547180249244,0.2227121059753631,0.322789850092544,0.22483587385821088,0.7360400001132652,0.3444238327126934,0.2425835392452385,0.4076372562175562,0.7016563819901221,0.3844210054526557,0
87,B,I,C,A,E,BI,A,AN,BM,A,DJ,A,A,A,A,B,D,D,B,0.35762883403200946,0.24656168864169198,0.2590040011149932,0.5579736014077904,0.3292401906681361,0.7825855458689885,0.4421571410858303,0.3612704869338707,0.447839633637954,0.7532227314354087,0.3928083664777796,0
90,A,L,G,A,I,BI,C,AV,J,A,HK,A,A,A,A,B,D,D,B,0.4961561547298463,0.6987186886990122,0.6862783803844039,0.6815143194694955,0.3059695870841671,0.7790158610191263,0.7552763839840444,0.647521261399312,0.7167241415351127,0.7470674037436684,0.3824742119070427,0
92,A,L,C,A,E,BI,C,K,AT,A,JG,B,A,A,A,D,B,D,D,0.3323716902575852,0.4560879759598455,0.4258746967778088,0.29629847959219946,0.2111222726269296,0.8037253976261249,0.8569377969517847,0.4409184604139999,0.7145491686878163,0.4063979428810432,0.30564588551520994,1
95,B,F,D,A,G,BI,A,AS,AE,A,DJ,A,A,A,A,D,D,D,B,0.33767160878097563,0.6944439082552251,0.6551776478032891,0.570041417860273,0.6884186412992619,0.8029026150022162,0.5876304986148937,0.5825968507744874,0.3795008899418476,0.3162040288578876,0.3754403847132077,0
96,A,K,A,A,H,BI,C,E,BM,C,HK,A,A,A,B,B,D,D,B,0.6914088013047531,0.7705512926007484,0.7826345865587255,0.6403029085203626,0.7974910679133194,0.5552969589407436,0.5989371973150557,0.694861048747462,0.4643267778129693,0.8374697510902169,0.9390862089690312,0
98,A,F,D,A,K,BI,C,AS,AT,A,MD,A,A,A,B,B,D,D,B,0.6737539369706392,0.9433585391823852,0.9317470418727244,0.3706510674276451,0.7414975157555138,0.7370911961918121,0.5704632183611507,0.5671999125462793,0.8084049516539491,0.5898137741829397,0.5845808563962264,1
100,B,O,A,C,F,BI,A,D,AX,A,HK,A,A,A,A,B,D,D,B,0.5414868678844847,0.6193306996262848,0.6996385289825485,0.5948767995308132,0.2725011893454117,0.11713942221524827,0.7390361119659502,0.5482230772971322,0.39135838785756377,0.3213118317738463,0.33108152623107445,0
101,A,J,C,B,D,BU,A,N,L,A,HG,A,A,A,A,B,D,D,B,0.8925825825860242,0.2661464763310036,0.380667439973204,0.6718443241909732,0.6017828208057521,0.0800259657576951,0.4415272185004962,0.5214463886191474,0.4495024811854774,0.7506140767065397,0.9509134139068688,0
105,A,B,D,A,E,BI,A,AV,AE,A,HX,A,A,A,B,B,D,D,B,0.4854044753914871,0.4177242539152159,0.4463881019616299,0.3316377955166921,0.29927393990352485,0.10487244154380884,0.10709986560476534,0.35684046993690643,0.3874205026371315,0.26990207757634843,0.4269341855240185,0
106,A,L,A,A,F,BI,A,AH,AX,A,LF,A,A,A,B,D,B,D,B,0.3421727491501419,0.5386133712932444,0.7433798646283261,0.134534677207819,0.2484957657351419,0.7976085973626427,0.554323162236131,0.1827104379502476,0.7630316527541479,0.6748214771444558,0.18737884551712652,1
108,A,K,A,B,F,BI,I,E,AU,F,CS,A,B,A,A,B,D,B,B,0.3902432766887525,0.6333649259891044,0.5787339816498869,0.21617869508646315,0.8093010992315667,0.3026260597609729,0.5863886120124214,0.5525458417981958,0.7939517137138334,0.2515366737800616,0.32871780446342896,1
109,A,F,A,A,G,BI,A,K,AT,C,GS,A,B,A,A,B,D,D,B,0.5685808087084561,0.463543563067723,0.4498783093606569,0.315735468064385,0.4050096905304295,0.4902573561829265,0.9513616205386272,0.4212149677543424,0.7085226118685098,0.5878390451632133,0.4640387454108289,1
111,A,H,F,B,E,BI,A,U,AF,A,GK,B,A,A,A,B,D,D,B,0.3357459069407837,0.4617129205414854,0.4319830114916289,0.6804176949458243,0.2989524003641974,0.4206395100923445,0.5319682133848429,0.5199795176056552,0.3391157342478807,0.2381470906693722,0.3705013732448904,0
112,A,H,Q,A,D,AB,E,AH,X,A,DC,B,A,A,B,D,B,D,C,0.3376715212581926,0.4660052095842919,0.511712441343219,0.2402453345556744,0.22708878446980865,0.5537614165872521,0.4062450877177679,0.35629194878420456,0.3612696618416558,0.533997780692425,0.5191563762613661,1
113,A,I,A,B,F,BU,A,AN,S,A,LB,A,A,A,B,B,D,D,B,0.7180942631098899,0.3207006365971259,0.27979853950446765,0.7311297846542745,0.6158751788546588,0.09479379683325652,0.1536194668854271,0.695452576938027,0.4239653671121468,0.3861512200083013,0.943479549663109,0
115,A,K,G,B,D,BI,A,AS,Y,F,HC,A,A,A,B,B,D,D,B,0.6963239490538317,0.7563800715132843,0.6813631024708193,0.8585056990324702,0.47648079305047897,0.15616470025679655,0.7456986194380208,0.8665171015695844,0.41598514815097576,0.9673016262252834,0.9425834618158828,0
116,A,I,C,A,F,BI,C,H,H,A,GS,A,A,A,A,B,D,D,B,0.4610365141049806,0.4734064002995843,0.42356569186933296,0.2982032806170799,0.7985678264404591,0.2616149433900877,0.8043915049395332,0.3583637744924678,0.391930220677877,0.2941914632764655,0.4636308591664656,0
117,A,O,A,A,H,BI,A,I,AG,C,LM,A,A,A,B,D,B,C,B,0.5379585266264378,0.8152630146017548,0.7545067141393879,0.3032743009450892,0.6773367089559775,0.7778646005088021,0.8328014727389538,0.8198396813754067,0.6772559822097068,0.562006350627251,0.5422170295981341,1
118,A,K,C,B,E,BI,A,AN,AE,A,DJ,A,A,A,A,B,C,D,B,0.3203621938122935,0.6148452113908504,0.3395695504744355,0.5956301162987189,0.299376144373469,0.5546599860144977,0.4702937735373957,0.41846248110971546,0.6410479416553756,0.30812738886935304,0.4159182326875095,0
120,B,I,A,A,F,BI,E,AW,AX,A,FM,A,A,A,B,B,D,B,B,0.4662425906253906,0.6495335317513952,0.619052225826324,0.5411856323049907,0.6740224102769963,0.5559262520938313,0.5299413937741935,0.4897068091740242,0.4809248456850391,0.7579611849170609,0.9300740840894008,1
121,A,I,A,A,E,BI,C,AV,S,A,LM,A,A,A,A,A,D,D,B,0.8910013109473542,0.3689685963937409,0.7616572257109386,0.8905126251527943,0.29209471901495104,0.1277953260326468,0.157433038077573,0.9610846455585936,0.9090051869521176,0.42324201373177023,0.9036890278719332,0
122,A,I,A,B,F,T,A,AF,BO,A,IH,A,A,A,A,B,D,D,B,0.32040301016048944,0.2470989158050273,0.2952643389657609,0.2784355896116494,0.2304357768520781,0.6207937686736603,0.6598662147916944,0.1993201443451313,0.27874573664228003,0.5160577495082791,0.2819696168409657,0
123,B,I,A,C,F,BI,A,U,BM,C,LN,A,A,A,A,B,D,D,B,0.8804030333929643,0.7722982862209095,0.7893784340873877,0.8328910142005121,0.6691881912924835,0.555043594865861,0.5320516449592511,0.6678123632858135,0.4926350435199535,0.7034986522716712,0.938769148528735,0
124,A,I,A,B,H,BI,A,J,AF,A,MD,A,A,A,A,B,A,D,B,0.3367608742362536,0.8529670372211824,0.7930848468503614,0.29115888154731273,0.6857302875246234,0.7884940242394898,0.5809712735886967,0.5064480308920077,0.7310982092942849,0.9687734701302988,0.535991214520349,0
125,B,J,A,A,F,BI,A,J,AX,A,HK,A,A,A,A,B,A,D,B,0.6644283350114083,0.683733805218537,0.7188793112448463,0.5700345353828108,0.2445820175878565,0.7989675483875057,0.6799063975373697,0.6405494787969066,0.4184706779016816,0.6252914042612326,0.4627843001181116,1
126,A,J,A,A,E,AB,C,N,N,J,DP,A,B,A,B,B,D,D,B,0.4651640115028843,0.3520542599254629,0.3808238695140603,0.34744619045239145,0.6282563057786317,0.2756264254047165,0.4869672450691516,0.5404512979017053,0.4260178598077071,0.2455418727709673,0.3144342649782246,0
127,A,I,A,A,I,BI,C,AF,AN,A,HK,A,A,A,B,B,D,D,B,0.4408062658378569,0.41796989035588894,0.4738404649967887,0.3093801861924259,0.2107604982470195,0.7706675079005949,0.8539823598280795,0.3664370708781369,0.5232013209539524,0.7120341750195487,0.4638215163241449,1
128,A,I,A,B,E,BI,A,E,S,E,IK,A,A,A,B,D,D,D,B,0.6980338036024253,0.5051731412746503,0.6445946068899905,0.5691735768374042,0.7930854277403372,0.2321916693531473,0.15839783774327515,0.5777433584247745,0.5548130333312873,0.28619501074043263,0.6471735344849571,0
129,A,L,A,A,G,BI,A,G,Q,A,MD,A,A,A,A,B,D,D,B,0.5041869065134019,0.8001332836677265,0.868315804465774,0.5885574795827573,0.6632760699096479,0.7962502430546867,0.6266595872060058,0.5132521903937868,0.5837217476518329,0.2889952814712876,0.5230289159003039,1
134,B,A,A,B,E,BI,A,N,Y,A,LB,A,A,A,B,B,D,D,B,0.6372461111591623,0.5527084602914062,0.7202135492638114,0.6762171416101882,0.5578660023865877,0.6805785786079579,0.2707152591462445,0.5424712832114891,0.4754198423659322,0.7654775511296198,0.5248337113197415,0
135,B,I,C,A,E,BI,A,AS,J,A,DF,A,A,A,A,B,D,D,B,0.4874292027002949,0.25631043815815424,0.3128588439753611,0.3290207808847884,0.7157245756769499,0.6800846542127911,0.5436233115117199,0.3864148676532376,0.3928980372054435,0.303099248131791,0.5398013940933186,0
137,A,K,J,B,E,BI,A,AY,Y,A,KW,A,A,A,A,B,D,D,B,0.8843752460320453,0.5591213710837386,0.6353830096376735,0.8490577958864659,0.8007002120768704,0.4876582845392757,0.17737196753220558,0.9909599551742748,0.7848639671789744,0.4425985622911374,0.9555640582293656,0
138,A,I,A,A,E,BI,E,E,N,A,IB,A,A,A,A,D,B,D,B,0.6108193213144405,0.3085608980057761,0.30933511038473605,0.6124398846359177,0.8036719409593212,0.11784993029185915,0.4439346242545366,0.4934347591700669,0.4236815581894216,0.3545463819464825,0.4655485160998442,0
140,A,K,A,A,E,BI,C,K,BM,C,DJ,A,A,A,A,B,D,D,B,0.4872213453565156,0.3195168220676948,0.36058056342888,0.5752142216178515,0.8055675276808987,0.7360060139192703,0.5377692730696341,0.3967449956242707,0.4060107419062649,0.6000988899517915,0.4686301713949039,0
141,A,H,C,A,D,K,A,AF,BM,A,CB,B,A,B,B,D,B,C,C,0.4996000842903196,0.14338653050357889,0.2457408505878413,0.26976291538104874,0.7823645803004449,0.0763283108405201,0.22268939430978832,0.30075573444955306,0.3711601243787679,0.27139966075581085,0.4139152021344424,0
142,A,I,C,B,E,BI,A,AV,AE,A,DP,A,A,A,A,B,D,D,B,0.5206856250760628,0.2474990222100828,0.32266183603352383,0.34097070252199113,0.5820494919087936,0.14302947857994958,0.4933039491994822,0.3750001095125641,0.3565369181935161,0.3779194883404236,0.33430637037897554,0
144,A,L,G,A,H,BI,A,AS,AX,A,HK,A,A,A,B,B,D,D,B,0.9709748587366622,0.8082941390090417,0.8147279613439062,0.6539813370133726,0.7353677237199939,0.6785941407603185,0.3374781202883367,0.8507915721303363,0.7275302791834718,0.8316319504038814,0.9212183079488376,0
150,A,I,A,A,E,BI,A,AX,M,A,DJ,A,A,A,B,A,D,D,B,0.03218525594356589,0.3063197232609645,0.3290752586013225,0.6008588391231297,0.2815089436867389,0.619051916043345,0.5642237402870851,0.33306015437844355,0.3102584836631269,0.4470428466533405,0.3279349872364724,0
151,A,F,J,A,E,BU,C,F,L,A,LY,A,A,A,B,D,B,D,B,0.728168000510088,0.7956869094273161,0.8693761229741747,0.7938815813485253,0.2976669792174007,0.2326912834477912,0.13833631536368882,0.9381885967786088,0.4467424310889404,0.8070052038601814,0.8603535831963364,0
152,A,I,A,B,E,BI,A,Y,AD,E,LN,A,A,A,B,B,D,D,B,0.9379401482500916,0.7587248934306442,0.8218372526919023,0.8708712110501003,0.6863668630911081,0.09790520261148664,0.2117648030510355,0.8336668828741127,0.7568836729317819,0.7897531775812892,0.9359382386525632,0
154,A,H,Q,A,D,AB,M,AH,BC,A,JW,B,A,A,B,D,B,B,D,0.4789956938597889,0.5343309573115544,0.4998016588735472,0.2337064300082681,0.26172434429604186,0.4857641674829382,0.33390318053988377,0.4676222038276831,0.3789759613999353,0.33391707416428845,0.4814901109762828,0
155,A,H,D,B,D,BI,I,AH,Y,A,FI,A,A,A,B,D,B,D,C,0.6257435474074662,0.16223139216037458,0.23651972407743946,0.8687026619955014,0.2432650615140582,0.11150661795864134,0.16900496732882794,0.3738715607030417,0.3532679456380539,0.420498023705326,0.8170464186941488,1
156,B,K,A,B,E,BI,C,J,AS,J,CR,A,B,A,A,B,D,D,B,0.3384640243238957,0.3429633482391041,0.35767256039644185,0.5714687286474004,0.3850092206106546,0.14169926933913454,0.5893890081737092,0.43943635435004536,0.4251599580927927,0.5264167474671139,0.3764856651352251,0
158,B,I,D,A,E,BI,C,AS,BM,A,DJ,A,A,A,A,B,D,D,B,0.4692732437243177,0.2369005140266521,0.3019086018599759,0.5794750871945771,0.3284321439164424,0.7365913914087959,0.4267935114692126,0.3976334880721629,0.3734288702389724,0.293102523410974,0.4598600698577378,0
159,A,L,I,A,F,BI,C,L,BM,A,IE,B,A,A,B,A,B,D,B,0.4875588471856547,0.706238280926258,0.6961522086781247,0.32561116496181763,0.6814386632002001,0.5554847717691134,0.318879119476583,0.3880946305092892,0.3765798276510061,0.5227283473681608,0.4694082476845467,1
161,A,B,D,A,G,BI,C,AL,H,A,GS,A,A,A,B,D,B,D,C,0.658616898953698,0.7775413584982672,0.7810668837954573,0.17716413272910692,0.3890990822905242,0.1776214357158072,0.7374876830227933,0.4196673210403503,0.6872645168732034,0.4990898375639402,0.4101898272440064,0
162,A,I,A,A,F,BI,C,C,AD,C,LF,A,A,A,A,B,D,D,B,0.4089099616699533,0.8373533346932204,0.7296967143886596,0.7045872729098729,0.6820779552325096,0.5542919123633581,0.5525938976906677,0.8049462831777076,0.4698895526645959,0.7409626035235791,0.8840885011997406,0
163,A,F,A,A,G,BI,A,AK,AX,A,MD,A,A,A,A,B,D,D,B,0.5509406039912454,0.9178734045724212,0.9476216284820036,0.5773216849523044,0.7819168322393796,0.5550340525574113,0.5927959546653672,0.566808085582903,0.5491681968650161,0.5764578916554013,0.5267120474714787,1
164,A,B,D,A,G,BI,C,AS,K,A,DJ,B,A,A,B,D,B,C,C,0.4912320069746209,0.4722742909895895,0.4409151239842627,0.3397420225471541,0.7221278286951089,0.782059059451092,0.6620218989075881,0.415692046118136,0.6586093993019542,0.6876396416937018,0.3146065038337497,1
166,A,F,A,B,E,BI,A,AI,S,A,HX,A,A,A,A,D,B,D,B,0.4818686078332863,0.4871818781178624,0.39616157087120063,0.26058320722855466,0.36521609532922455,0.3562722970094026,0.22443820440709625,0.5541576713124714,0.3606288708973579,0.4941024119604866,0.3901117951371783,0
168,A,L,I,A,E,AB,C,E,AW,A,DJ,B,A,A,B,D,B,D,B,0.3357602115070941,0.21121625682364045,0.2658701059409328,0.2929392662358539,0.7980884194370946,0.4857242116114852,0.4746218585017348,0.2642590272150427,0.3103710721908997,0.39212120670904704,0.31274100374020075,0
169,B,I,A,A,F,BI,A,E,AD,A,LF,A,A,A,A,A,D,B,B,0.8927426693710174,0.7609607639822169,0.7233823137249527,0.6456608174887969,0.8045347078332364,0.6191557643370519,0.7675284077211101,0.8192876101415756,0.7833612832534436,0.8105620538502493,0.9024031650396837,0
